,Label,SuperCategory,"Has role","Is part of",Id,Synonym,DefiningCitation,Definition,Comment
":Category:Aggregate field theory","Aggregate field theory","Electrophysiology theory",,,oen_0001101,,,"A theory of brain function, which states that individual mental functions or behaviors are performed by the brain as a whole, rather than by discrete portions of the brain.",
":Category:Amperometric electrode recording protocol","Amperometric electrode recording protocol","Micro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2275,,,,
:Category:Attenuation,Attenuation,"Synaptic Plasticity",":Category:Electrophysiology concept",,oen_0001236,,,"Attenuation is the reciprocal of gain. (adapted from the Axon Guide)",
":Category:Attractor Neural Network","Attractor Neural Network","Computational model",":Category:Electrophysiology concept",,oen_0001088,,ModelDB:83539,,
":Category:Auditory cortex","Auditory cortex","Functional part of brain",":Category:Sensory cortex,:Category:Electrophysiology concept",":Category:Auditory system",oen_0001105,,,"Neocortical areas that are functionally activated predominantly to sound, with the shortest latency.",
":Category:Auditory map","Auditory map","Topographic map",,,oen_0001170,,,"A representation of the audible sound spectrum in the auditory cortex.",
:Category:Augmentation,Augmentation,"Short-term Synaptic Plasticity",":Category:Electrophysiology concept",,oen_0001279,,,"A form of short-term synaptic plasticity associated with an increase in the number of synaptic vesicles that release their transmitter and acts at the second scale.",
":Category:Axoaxonic synapse","Axoaxonic synapse",Synapse,":Category:Electrophysiology concept",,oen_0001117,"Axo-axonic synapse",,"The synapse made by an axon terminal of one neuron onto the axon of another.",
":Category:Axodendritic synapse","Axodendritic synapse",Synapse,":Category:Electrophysiology concept",,oen_0001118,"Axo-dendritic synapse",,"The synapse made by an axon terminal of one neuron onto the dendrite of another.",
":Category:Axon Hillock","Axon Hillock","Cellular component",":Category:Electrophysiology concept",,oen_0001187,"Trigger zone,Action potential initial zone,initial segment",,"Cone shaped elevation from which the axon originates;  in Nissl stained preparations, the axon hillock usually can be identified as a region of the perikaryon that is distinguished by a deficiency of Nissl substance (Peters, Palay and Webster, 1991).

In physiology: A specialized component of the neuron, usually located in the initial segment of the axon where the action potential is initiated.","Changed the supercategory to Cellular component, as we have retired all of the regional parts.  Consider changing the ID to the GO Cell component ID.  However, make sure that the physiological and anatomical concepts actually match.  The current definition is structural rather than functional.  I'm not sure that all initial segments and initiating zones are axon hillocks."
":Category:Axon transport","Axon transport","Electrophysiology concept",,,oen_0001114,"axon cargo transport,axonal transport",,"The active movement of a neuron's constituents within the axon.",
":Category:Axosomatic synapse","Axosomatic synapse",Synapse,":Category:Electrophysiology concept",,oen_0001119,"Axo-somatic synapse",,"The synapse made by an axon terminal of one neuron on the cell body of aanother.",
":Category:Bicarbonate stimulus transduction","Bicarbonate stimulus transduction","Molecule flow stimulus transduction",,,birnlex_15008,"pH stimulus transduction",,"A sensory transduction event whereby chemoreceptors in the carotid body of higher mammals detect the amount of plasma bicarbonate communicating this signal to medullary neurons involved in control of respiratory rate.  Higher pH derives primarily from higher plasma pCO2.  The medullary neurons increase respiratory rate in response to a rise in pH, so as to vent more CO2 and thereby decrease pH back toward neutral (BB: 2008-03-13)",
:Category:Biofeedback,Biofeedback,Protocol,":Category:Electrophysiology concept",,oen_0001086,,ModelDB:116857,"The process of becoming aware of various physiological functions using instruments that provide information on the activity of those same systems, with a goal of being able to manipulate them at will",
":Category:Cable property","Cable property","Electrophysiology concept",,,oen_0001215,"Cable properties",,"A set of equations that describe the movement of electricity in a cable.  These equations also describe the movement of electricity in axons.",
":Category:Calcium dynamics","Calcium dynamics","Electrophysiology concept",,,oen_0001083,,ModelDB:98012,,
":Category:Cell Capacitance","Cell Capacitance","Cellular physiology characteristic",":Category:NeuroElectro Term,:Category:Passive membrane property,:Category:Electrophysiology concept",,oen_0001024,"Cell_capacitance,Cm,C,capacitance,whole cell capacitance",,"Neuron capacitance, typically measured by dividing membrane time constant by membrane resistance","NeuroElectro Term 1, Note:  RM and CM are typically assumed to be linear, steady state properties and thus not influenced by voltage-gated channels.  Thus, most measurements of these are via small voltage changes or current injections."
":Category:Cell diameter","Cell diameter","Cellular morphology characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001017,"diameter,soma diameter",,"Diameter of the cell soma","NeuroElectro Term 11"
":Category:Cell surface area","Cell surface area","Cellular morphology characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001013,"area,surface area",,"Cross-sectional area of the cell","NeuroElectro Term 15"
":Category:Cell-attached single-channel recording protocol","Cell-attached single-channel recording protocol","Ion channel recording protocol",":Category:Electrophysiology concept",,birnlex_2283,,,,
":Category:Cell-detached inside-out single-channel recording protocol","Cell-detached inside-out single-channel recording protocol","Cell-detached single-channel recording protocol",":Category:Electrophysiology concept",,birnlex_2286,,,,
":Category:Cell-detached outside-out single-channel recording protocol","Cell-detached outside-out single-channel recording protocol","Cell-detached single-channel recording protocol",":Category:Electrophysiology concept",,oen_0001316,,,,
":Category:Cell-detached single-channel recording protocol","Cell-detached single-channel recording protocol","Ion channel recording protocol",":Category:Electrophysiology concept",,birnlex_2284,"excised patch",,,
":Category:Cellular Excitation","Cellular Excitation","Electrophysiology concept",,,oen_0001146,Excitation,,"The depolarization of a postsynaptic cell, increasing the likelihood that an action potential will be generated.",
":Category:Cellular physiology characteristic","Cellular physiology characteristic","Cellular quality",":Category:Electrophysiology concept",,nlx_155521,,,,
":Category:Central pattern generator","Central pattern generator","Biological process",":Category:Electrophysiology concept",,oen_0001121,,,"A network of neurons capable of generating rhythmic motor activity without any afferent activity or other source of rhythmic external drive., A network of neurons capable of generating rhythmic motor activity without any afferent activity or other source of rhythmic external drive., A network of neurons capable of generating rhythmic motor activity without any afferent activity or other source of rhythmic external drive.",
":Category:Chemical stimulus transduction","Chemical stimulus transduction","Sensory stimulus transduction",,,birnlex_15002,"sensory detection of chemical stimulus,Molecule binding stimulus transduction",,"* The series of events in which a sensory chemical stimulus is received and converted into a molecular signal. (GO:ai) (GO) * Sensory transduction where the binding of a specific molecular species is the direct stimulus being.",
:Category:Chemotropism,Chemotropism,"Neural coding",,,oen_0001122,Chemoattraction,,"The hypothesis that developing axons are attracted toward diffusible factors secreted by particular groups of target cells.",
":Category:Ciliary displacement stimulus transduction","Ciliary displacement stimulus transduction","Mechanical stimulus transduction",,,birnlex_15016,,,"Energy transfer between some physical force and primary sensory cilia displacement which to stimulation of the neurons (BB: 2008-03-13)",
":Category:Coincidence detection","Coincidence detection","Electrophysiology concept",,,oen_0001082,"Coincidence Detector",ModelDB:3632,"Process by which a neuron, neural circuit or neural model detects simultaneous but spatially separate synaptic inputs.",
":Category:Computational model","Computational model",Algorithm,":Category:Electrophysiology concept",,birnlex_2300,,ModelDB:58584,,
:Category:Conductance,Conductance,"Quality of related physical entities",":Category:Electrophysiology concept",,oen_0001224,,,"Measure of how easily electricity flows along a certain path through an electrical element. The SI derived unit of conductance is the siemens.",
":Category:Conduction failure","Conduction failure","Nerve conduction",":Category:Electrophysiology concept",,oen_0001080,,ModelDB:114307,"A failure of the action potential to propagate down the axon.",
":Category:Connectional specificity","Connectional specificity","Electrophysiology concept",,,oen_0001129,,,"The principle that neurons form specific functional interconnections, based on three anatomical observations: 1. there is no cytoplasmic continuity between nerve cells; 2. neurons do not connect indiscriminately to one another or form random networks; 3. each cell communicates with specific postsynaptic cells but not with others, and always at specialized sites (synapses).",
":Category:Connectionist model","Connectionist model","Computational model",":Category:Electrophysiology concept",,oen_0001130,"Neural net model",,"A model of neural function with parallel and distributed processing components.  Also neural net model.",
":Category:Connectivity matrix","Connectivity matrix","Electrophysiology concept",,,oen_0001079,,ModelDB:114660,,
:Category:Convergence,Convergence,"Electrophysiology concept",,,oen_0001132,,,"A pattern of connections between neurons in which several presynaptic neurons make a synaptic connection onto a common postsynaptic cell.",
":Category:Cuff-electrode recording protocol","Cuff-electrode recording protocol","Macro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2291,"Suction electrode recording protocol",,,
":Category:Current clamp voltage recording protocol","Current clamp voltage recording protocol","Intracellular electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2278,,,,
":Category:Cut open oocyte voltage clamp recording protocol","Cut open oocyte voltage clamp recording protocol","Multiple-electrode voltage clamp recording protocol",":Category:Electrophysiology concept",,oen_0001314,,,"A technique to measure the ion currents across the membrane of oocytes, while holding the membrane voltage at a set level, while using two electrodes, one holds the membrane potential steady while the other measures current and the feedback circuit used to bridge the electrodes.",
:Category:Decade,Decade,"Electrophysiology concept",,,oen_0001230,,,"a range of frequencies where the largest frequency is ten times the lowest frequency (adapted from the Axon Guide)",
":Category:Decerebrate preparation","Decerebrate preparation","Specimen preparation protocol",":Category:Electrophysiology concept",,oen_0001134,,,"Experimental animal in which the brain stem is cut at the level of the midbrain.  Used to study spinal reflexes.","Definition needs review.  It is classified as a protocol but the definition refers to it as an animal.  Should not conflate the two."
":Category:Decreased threshold","Decreased threshold",Threshold,":Category:Electrophysiology concept",,PATO_0000708,"low threshold",,"A threshold which is relatively low.",
":Category:Deep brain stimulation","Deep brain stimulation","Electrophysiology concept",,,oen_0001078,DBS,ModelDB:116944,"A surgical treatment involving the implantation of a medical device called a brain pacemaker, which sends electrical impulses to specific parts of the brain.",
":Category:Dendritic action potential","Dendritic action potential","Action potential",":Category:Electrophysiology concept",,oen_0001077,,ModelDB:3629,"Action potentials generated in the dendrites of a neuron.","I changed the supercategory because a dendritic action potential is a type of action potential."
":Category:Dendroaxonic synapse","Dendroaxonic synapse",Synapse,":Category:Electrophysiology concept",,oen_0001116,Dendro-axonic_synapse,,"The synapse made by an axon terminal of one neuron onto the axon of another.",
:Category:Depolarization,Depolarization,"Electrophysiology concept",,,oen_0001137,,,"A decrease in the negative membrane potential of a cell.  Depolarization increases the likelihood that a cell will fire an action potential.",
":Category:Depolarization block","Depolarization block","Electrophysiology concept",,,oen_0001076,,ModelDB:121254,"Process wherea depolarization blocking agent or drug inhibits the depolarization of the membrane potential due to an external signa, for example, by blocking the channels responsible for depolarization or by opening K+ channels.",
:Category:Desensitization,Desensitization,"Electrophysiology concept",,,oen_0001138,,,"The process whereby the binding of a ligand to a receptor leads to the decreased effectiveness of the receptor.",
":Category:Direction selectivity","Direction selectivity","Electrophysiology concept",,,oen_0001073,,ModelDB:116907,,
":Category:Discontinuous single cell voltage clamp","Discontinuous single cell voltage clamp","Electrical recording protocol",":Category:Electrophysiology concept",,oen_0001178,,,"An experimental protocol that prevents the opening and closing of voltage-gated channels and removes their influence on the membrane potential.  A direct measure of membrane current can be obtained with this technique by recording the current that must be generated by the voltage clamp to keep the membrane potential from changing.",
":Category:Distributed processing","Distributed processing","Electrophysiology concept",,,oen_0001139,,,"Routing of information to a number of different areas in the brain",
:Category:Divergence,Divergence,"Electrophysiology concept",,,oen_0001131,,,"A pattern of conncetions between neurons in which a simgle presynaptic neuron forms synapses on several different postsynaptic cells.",
":Category:Dynamic polarization","Dynamic polarization","Electrophysiology theory",,,oen_0001141,"The principle of dynamic polarization",,"The principle that information within a neuron flows in a predictable and consistent direction.",
:Category:Dysmetria,Dysmetria,"Electrophysiology concept",,,oen_0001140,,,"Error in the range and force of movement",
":Category:Electical overshoot","Electical overshoot","Device parameter",":Category:Electrophysiology concept",,oen_0001232,,,"When the phase shift in the pass band is not linearly dependent on the frequency of the sinusoidal component, the filtered signal generally exhibits overshoot. (adapted from the Axon Guide)",
":Category:Electrical drift","Electrical drift","Device parameter",":Category:Electrophysiology concept",,oen_0001213,drift,,"A gradual shift in DC potential during a recording period, seemingly unrelated to biological phenomena rather an artifact.",
":Category:Electrical offset","Electrical offset","Device parameter",":Category:Electrophysiology concept",,oen_0001211,zeroing,,"DC shift in input voltage required to produce a zero output voltage when no signal is applied to an amplifier.",
":Category:Electrical recording assay","Electrical recording assay",Assay,":Category:Electrophysiology concept",,nlx_inv_090908,"Electrical recording",,,
":Category:Electrical recording protocol","Electrical recording protocol",Protocol,":Category:Electrophysiology concept",,birnlex_2269,Electrophysiology,,,
":Category:Electrical saturation","Electrical saturation","Device parameter",":Category:Electrophysiology concept",,oen_0001210,Saturation,,"When the output voltage goes to either the extreme maximum or minimum end of its range, disallowing further discrimination of the signal.",
":Category:Electrocardiography recording protocol","Electrocardiography recording protocol","Field electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2294,,,,
":Category:Electroception stimulus transduction","Electroception stimulus transduction","Sensory stimulus transduction",,,birnlex_15017_2,"electroception,sensory transduction",,"The series of events during electroception in which a sensory electrical stimulus is received by a cell and converted into a molecular signal.",
":Category:Electroencephalography recording protocol","Electroencephalography recording protocol","Field electrode recording protocol",":Category:Neuroimaging,:Category:Electrophysiology concept",,birnlex_2293,Electroencephalography,,,
":Category:Electromotive force","Electromotive force",Force,":Category:Electrophysiology concept",,oen_0001218,"emf,electromotance",,"A source of electrical potential, suh as an ionic gradient.",
":Category:Electromyography surface recording protocol","Electromyography surface recording protocol","Macro-electrode recording protocol",":Category:Electrophysiology concept",,nlx_inv_20090501,Electromyography,,"A macro-electrode recording technique for recording the activation signal of muscles through the use of surface electrode. EMG may also be performed intramuscularly by inserting a needle into the muscle (intramuscular EMG)",
:Category:Electrophysiology,Electrophysiology,Scientific_discipline,":Category:Electrophysiology concept",,nlx_inv_100625,,,"is the study of the electrical properties of biological cells and tissues. 

It involves measurements of voltage change or electric current on a wide variety of scales from single ion channel proteins to whole organs like the heart. In neuroscience, it includes measurements of the electrical activity of neurons, and particularly action potential activity. - definition adapted from Wikipedia",
":Category:Electrophysiology theory","Electrophysiology theory","Electrophysiology concept",,,oen_0001313,,,"Any theory that attempts to explain an aspect of neuronal function.",
:Category:Electrosurgery,Electrosurgery,Protocol,":Category:Electrophysiology concept",,nlx_32915,,,"Electrosurgery uses alternating current to achieve cutting and coagulation. The patient becomes part of the electrical circuit and current enters their body. Cautery uses direct current to coagulate. A heated wire or electrode comes in contact with tissue. Vary the voltage of the current and the pattern of electric pulses to achieve your desired cauterizing effect.","Adapted from WPI http://www.wpiinc.com/index.php/Virtue-Mart/vmchk.html"
":Category:Electrotonic conduction","Electrotonic conduction","Nerve conduction",":Category:Electrophysiology concept",,oen_0001128,,,"The passive spread of voltage changes between different regions of the neuronal membrane.","Is this duplicated with electrotonus?"
":Category:Electrotonic potential","Electrotonic potential","Electric potential",":Category:Electrophysiology concept",,oen_0001276,"subthreshold potential",,"a passive or analog electrical potential, that decays in space and time according to the time and space constants.",
:Category:Electrotonus,Electrotonus,"Nerve conduction",":Category:Electrophysiology concept",,oen_0001072,,ModelDB:64175,"Passive spread of charge within a neuron.","Is this duplicative with Electrotonic conduction"
":Category:End-plate potential","End-plate potential","Membrane potential",":Category:Electrophysiology concept",,oen_0001275,"EPP,muscle potential",,"synaptic potential recorded from the muscle cells.",
:Category:Epilepsy,Epilepsy,"Nervous system disease",":Category:Electrophysiology concept",,birnlex_12718,"Epileptic Seizure,Seizure Disorder",,"A disorder characterized by recurrent episodes of paroxysmal brain dysfunction due to a sudden, disorderly, and excessive neuronal discharge. Epilepsy classification systems are generally based upon: (1) clinical features of the seizure episodes (e.g., motor seizure), (2) etiology (e.g., post-traumatic), (3) anatomic site of seizure origin (e.g., frontal lobe seizure), (4) tendency to spread to other structures in the brain, and (5) temporal patterns (e.g., nocturnal epilepsy) (MeSH).",
":Category:Equilibrium potential","Equilibrium potential","Membrane potential",":Category:Electrophysiology concept",,oen_0001274,"Nernst potential,Reversal potential",,"The specific membrane potential for a given ion species at which the electrical force, due to the charge on the membrane is equal and oppositely directed to the chemical driving force resulting from the concentration gradient, so that no net movement of charge occurs.",
":Category:Equivalent circuit","Equivalent circuit","Computational model",":Category:Electrophysiology concept",,oen_0001219,,,"Representation of the electrical properties of individual neurons or groups of neurons in a conventional electrical circuit consisting only of conductors, resistors, batteries and capacitors.",
":Category:Event related potential","Event related potential","Membrane potential",":Category:Electrophysiology concept",,nlx_qual_20090508,"ERPs,Evoked potential",,"The recorded electrical responses from nerve, muscle, SENSORY RECEPTOR, or area of the CENTRAL NERVOUS SYSTEM following stimulation. They range from less than a microvolt to several microvolts. The evoked potential can be auditory (EVOKED POTENTIALS, AUDITORY), somatosensory (EVOKED POTENTIALS, SOMATOSENSORY), visual (EVOKED POTENTIALS, VISUAL), or motor (EVOKED POTENTIALS, MOTOR), or other modalities that have been reported. Often used synonymously to event-related potentials which are associated with higher level cognitive processes.",
":Category:Event related potential recording assay","Event related potential recording assay","Electrical recording assay",":Category:Electrophysiology concept",,nlx_46637,,,,
":Category:Evoked Excitatory post synaptic potential","Evoked Excitatory post synaptic potential","Excitatory post synaptic potential",":Category:Electrophysiology concept",,nlx_qual_20090504,"Evoked EPSP",,"An EPSP that was evoked by an action potential invading a presynaptic axon.  This is as opposed to a spontaneous EPSP.",
":Category:Evoked potential","Evoked potential","Membrane potential",":Category:Electrophysiology concept",,oen_0001273,"Event Related Potentials",,"The recorded electrical responses from nerve, muscle, SENSORY RECEPTOR, or area of the CENTRAL NERVOUS SYSTEM following stimulation. They range from less than a microvolt to several microvolts. The evoked potential can be auditory (EVOKED POTENTIALS, AUDITORY), somatosensory (EVOKED POTENTIALS, SOMATOSENSORY), visual (EVOKED POTENTIALS, VISUAL), or motor (EVOKED POTENTIALS, MOTOR), or other modalities that have been reported. Often used synonymously to event-related potentials which are associated with higher level cognitive processes.",
:Category:Excitatory,Excitatory,"Quality of related physical entities",":Category:Electrophysiology concept",,oen_0001145,,,"Said of a neuron, synapse, or synaptic potential that produces depolarization of the postsynaptic cell.",
":Category:Excitatory post synaptic potential","Excitatory post synaptic potential","Membrane potential",":Category:Electrophysiology concept",,oen_0001262,"Excitatory post-synaptic potential,Excitatory postsynaptic potential",,"A temporary change in postsynaptic membrane potential, usually a depolarization, resulting from presynaptic release of neurotransmitter. This is usually due to the flow of positively charged ions into the postsynaptic cell, but can also be due to a reduction in negatively charged ionic current or the turning off of a potassium current.  An EPSP generally increases the likelihood of action potential discharge in the postsynaptic neuron.  In common usage, the EPSP typically refers to an evoked EPSP.","GO Biological process lists EPSP as a synonym of ""Regulation of excitatory post synaptic potential"".  I don't think that's correct, so I included it here.  MM, The GO definition is incorrect, in physics the increase of an electrical potential means that the potential difference between positive and negative sides is larger, at rest of a neuron this means a hyperpolarization or a decrease of postsynaptic potential, not an increase, as asserted by GO.  I have edited the definition for accuracy. AB"
":Category:Extracellular electrode recording protocol","Extracellular electrode recording protocol","Micro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2272,,,,
":Category:Extracellular field potential","Extracellular field potential","Electrical recording protocol",":Category:Electrophysiology concept",,oen_0001070,"Extracellular Field",ModelDB:84598,"A potential difference in voltage between two spatial regions, both outside of cellular membrane.",
":Category:FI slope","FI slope","Electrophysiology concept",":Category:NeuroElectro Term",,oen_0001012,"slope of FI curve,FR vs. I slope",,"The slope of the current-discharge relationship from discharge threshold","NeuroElectro Term 17"
:Category:Facilitation,Facilitation,"Synaptic Plasticity",":Category:Electrophysiology concept",,oen_0001069,,ModelDB:22010,"Facilitation Increase in the probability that an event of interest happens. Typically related to the probability of spiking in response to stimulation or to an increase in the efficacy of synaptic input.",
":Category:Fast afterhyperpolarization amplitude","Fast afterhyperpolarization amplitude","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001010,"fAHP size,fAHP amp,fAHP amplitude,fast AHP amplitude,fast AHP size",,"Amplitude from first AP onset to minimum voltage, explictly refered to as fast","NeuroElectro Term 19"
":Category:Fast afterhyperpolarization duration","Fast afterhyperpolarization duration","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001008,"fAHP duration,fAHP time,fast AHP duration,fast AHP time",,"Duration from first AP onset to minimum voltage, explictly refered to as fast","NeuroElectro Term 20"
":Category:Fast potential","Fast potential","Membrane potential",":Category:Electrophysiology concept",,oen_0001263,,,"A class of synaptic potential that persists over the millisecond time scale.  Typical fast potentials have direct mechanisms such as activation of transmitter-gated ion channels.  The term is found in older electrophysiology literature.",
":Category:Feed-forward inhibition","Feed-forward inhibition","Electrophysiology concept",,,oen_0001154,"Reciprocal inhibition",,"An inhibitory circuit in which a neuron both directly excites a target and indirectly inhibits it by exciting an interposed inhibtory neuron.  This type of circuit, common in the reciprocal innervation activated by monosynaptic reflex systems, coordinates competing the inhibition of an extensor muscle.",
":Category:Field electrode recording protocol","Field electrode recording protocol","Macro-electrode recording protocol",":Category:Electrophysiology concept",,birnlex_2292,"Surface electrode recording protocol",,,
":Category:Firing frequency","Firing frequency","Electrophysiology concept",":Category:NeuroElectro Term",,oen_0001022,"firing rate,FR",,"AP discharge rate","NeuroElectro Term 9"
":Category:First spike latency","First spike latency","Action potential characteristic",":Category:NeuroElectro Term,:Category:Electrophysiology concept",,oen_0001001,"1st AP time,spike latency",ModelDB:97752,"Duration to first AP following a depolarizing current step of fixed amplitude; Time lag between the start of the input to a neuron or model of a neuron and the occurance of the first action potential.","NeuroElectro Term 28"
":Category:Fluid-coupled ciliary displacement stimulus transduction","Fluid-coupled ciliary displacement stimulus transduction","Ciliary displacement stimulus transduction",,,birnlex_15020,,,"Energy transfer between some physical force and a solid object which is coupled to primary sensory cilia and whose displacement leads to stimulation of the neurons (BB: 2008-03-13)",
":Category:Frequency code","Frequency code","Neural coding",,,oen_0001124,,,"A method of coding whereby the strength of the stimulus is coded by the firing rate of a neuron",
":Category:G-protein gated channel","G-protein gated channel","Ion Channel",":Category:Electrophysiology concept",,oen_0001147,,,"A type of ligand gated channel, sensitive to intracellular G-protein binding",
:Category:Gating,Gating,"Electrophysiology concept",,,oen_0001152,,,"The active transition of an ion channel between open and closed states.  Gating can be direct or indirect.",
":Category:Grid electrode recording protocol","Grid electrode recording protocol","Electrical recording protocol",":Category:Electrophysiology concept",,birnlex_2277,,,,
":Category:Gustatory stimulus transduction","Gustatory stimulus transduction","Chemical stimulus transduction",,,birnlex_15006,"sensory detection of taste stimulus,sensory detection of gustatory stimulus,taste stimulus transduction",,"The series of events in which a sensory chemical stimulus is received and converted into a molecular signal. (GO:ai) (GO)",
":Category:Hebb synapse","Hebb synapse","Electrophysiology theory",,,oen_0001206,"Hebbian synapse,Hebb's rule",,"""When an axon of cell A is near enough to excite a cell B and repeatedly or persistently takes part in firing it, some growth process or metabolic change takes place in one or both cells such that A's efficiency, as one of the cells firing B is increased.""",
":Category:Hydration sphere","Hydration sphere","Electrophysiology concept",,,oen_0001216,"Waters of hydration",,"A cloud of water molecules that surrounds an ion in solution.",
:Category:Hyperpolarization,Hyperpolarization,"Electrophysiology concept",,,oen_0001136,,,"An increasae in the negative membrane potential of a cell.  Hyperpolarization decreases the likelihood that a cell will fire an action potential.",
":Category:I L high threshold","I L high threshold","Calcium current",":Category:Electrophysiology concept",,oen_0001310,"I Calcium",ModelDB:243,"""Long-lasting""; slowly inactivating; threshold around -20 mV","Underlies Ca2+ spikes that are prominent in dendrites; involved in synaptic transmission"
":Category:I N","I N","Calcium current",":Category:Electrophysiology concept",,oen_0001309,"I Calcium",ModelDB:244,"""Neither""; rapidly inactivating; threshold around -20 mV","Underlies Ca2+ spikes that are prominent in dendrites; involved in synaptic transmission"
":Category:Increased threshold","Increased threshold",Threshold,":Category:Electrophysiology concept",,PATO_0000706,"High threshold",,"A threshold which is relatively high.",
":Category:Influence of dendritic geometry","Influence of dendritic geometry","Electrophysiology concept",,,oen_0001067,,ModelDB:3640,"The impact that the morphology or shape of the dendrites has on the propagation of electrical signals within a neuron.",
:Category:Inhibition,Inhibition,"Cognitive Atlas Concept",":Category:Electrophysiology concept",,oen_0001144,,,"The process by which a response (neural or behavioral) is diminished.",
:Category:Inhibitory,Inhibitory,"Quality of related physical entities",":Category:Electrophysiology concept",,oen_0001143,,,"A synapse in which an action potential in the presynaptic cell reduces the probability of an action potential occurring in the postsynaptic cell.",
":Category:Input Resistance","Input Resistance","Cellular physiology characteristic",":Category:NeuroElectro Term,:Category:Passive membrane property,:Category:Electrophysiology concept",,oen_0001023,"R<sub>in</sub>,R<sub>N</sub>,Maximum R<sub>in</sub>,R<sub>input</sub>,Rin,RN",,"Input resistance at steady-state (steady-state of voltage response to current injection)","NeuroElectro Term 2"
":Category:Integrative zone","Integrative zone","Electrophysiology concept",,,oen_0001159,,,"The initial segment of the axon where the decision is made to initiate an action potential.",
":Category:Intracellular electrode recording assay","Intracellular electrode recording assay","Micro-electrode recording assay",":Category:Electrophysiology concept",,nlx_inv_090910,"Intracellular electrode recording,intracellular recording",,,
