term;property;content;id;definition
;OBI_related;logarithmic voltage amplifier;http://purl.obolibrary.org/obo/OBI_0400066;A logarithmic voltage amplifier is an analog electronic circuit that puts out a voltage or current proportional to the voltage or current at its input, with logarithmic proportionality. In an analog system, the logarithmic voltage amplifier is used to present parameters with a high dynamic range on a more useful scale.
;;voltage amplifier;http://purl.obolibrary.org/obo/OBI_0400101;A voltage amplifier is a device that amplifies the voltage signal.
;;preamplifier;http://purl.obolibrary.org/obo/OBI_0400087;A preamplifier is part of the electronics subsystem. It converts the current output from its associated detector to a voltage. The preamplifier is the first stage in analog electronics signal processing.
;ERO_related;microelectrode amplifier;http://purl.obolibrary.org/obo/ERO_0000946;Amplifier that measures very small currents or voltage (often in a cell or patch of membrane) and passes that measurement on for recording and analysis. Microelectrode amplifiers may also control current and voltage in current-clamp and voltage-clamp mode.
;;logarithmic voltage amplifier;http://purl.obolibrary.org/obo/OBI_0400066;A logarithmic voltage amplifier is an analog electronic circuit that puts out a voltage or current proportional to the voltage or current at its input, with logarithmic proportionality. In an analog system, the logarithmic voltage amplifier is used to present parameters with a high dynamic range on a more useful scale.
;;voltage amplifier;http://purl.obolibrary.org/obo/OBI_0400101;A voltage amplifier is a device that amplifies the voltage signal.
;;patch clamp amplifier;http://purl.obolibrary.org/obo/ERO_0000536;A patch clamp amplifier is a voltage amplifier that uses a single electrode clamp, where the voltage measuring and current passing circuits are connected. The electrode is attached to a wire that contacts the current/voltage loop inside the amplifier. Thus the electrode has only an indirect influence on the feedback circuit. The amplifier reads only the voltage at the top of the electrode, and feeds back current to compensate.
;;preamplifier;http://purl.obolibrary.org/obo/OBI_0400087;A preamplifier is part of the electronics subsystem. It converts the current output from its associated detector to a voltage. The preamplifier is the first stage in analog electronics signal processing.
;ERO_definition source;http://en.wikipedia.org/wiki/Amplifier;;
;neurolex_definition;Amplifiers are used in intracellular and extracellular recording, epithelial voltage clamps, specialty instruments for micro-pressure measurement and bio-potential discrimination, and the electrodes and transducers to work with these units.;;
;ERO_definition;An instrument that changes, usually increases, the amplitude of a signal. The relationship of the input to the output of an amplifier, usually expressed as a function of the input frequency, is called the transfer function of the amplifier, and the magnitude of the transfer function is termed the gain.;;
;neurolex_label;Amplifier;;
;;Amplifier;;
;ERO_label;amplifier;;
;;amplifier;;
;ERO_example of usage;An amplifier connected to a CD player.;;
;neurolex_comment;Adapted from WPI http://www.wpiinc.com/index.php/Virtue-Mart/vmchk.html;;
;ERO_id;http://purl.obolibrary.org/obo/ERO_0000945;;
;;http://purl.obolibrary.org/obo/ERO_0000945;;
;neurolex_id;http://neurolex.org/wiki/Category-3AAmplifier;;
;;http://neurolex.org/wiki/Nlx_27076;;
;provenance;ant1b_test;;
chemical solution;OBI_definition source;GROUP: OBI Biomaterial Branch;;
;OBI_definition;A material entity  that is made up of at least 2 scattered molecular aggregates, one playing the role of solvent and the other one playing the role of solute.;;
;OBI_editor preferred label;chemical solution;;
;OBI_label;chemical solution;;
;;chemical solution;;
;OBI_alternative term;liquid chemical solution;;
;OBI_example of usage;"PMID: 18289311.Anesth Analg. 2008 Apr;106(4):1078-86.Less impairment of hemostasis and reduced blood loss in pigs after resuscitation from hemorrhagic shock using the small-volume concept with hypertonic saline/hydroxyethyl starch as compared to administration of 4% gelatin or 6% hydroxyethyl starch solution.";;
;OBI_id;http://purl.obolibrary.org/obo/OBI_0302729;;
;;http://purl.obolibrary.org/obo/OBI_0302729;;
;provenance;ant1b_test;;
resistance;NEMO_related;electrical_resistance;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_4603000;Electrical resistance is the disposition of a material to oppose to an electric current when a potential difference (i.e., a voltage) is applied.    Resistance (R) is equal to the voltage applied across the resistor (V) over the electric current through the resistor (I).
;neurolex_related;Resource:Stanford University HIV Drug Resistance Database;http://neurolex.org/wiki/Nif-2D0000-2D21195;"The Stanford University HIV Drug Resistance Database is a curated public database designed to represent, store, and analyze the different forms of data underlying HIVs drug resistance. HIVDB 
has three main types of content: (1) Database queries and references, (2) Interactive programs, and (3) Educational resources. 
Database queries are designed primarily for researchers studying HIV drug resistance. The interactive programs and educational resources are designed for both researchers and those wishing to learn more about HIV drug resistance. 
1.DATABASE QUERY AND REFERENCE PAGES 
Genotype-Treatment Correlations 
This Genotype-Treatment section of the database links to 15 interactive query pages that explore the relationship between treatment with HIV-1 antiretroviral drugs (ARVs) and mutations in HIV reverse transcriptase (RT), protease, and integrase. There are five types of interactive query pages: 
 Treatment Profiles (Protease and RT inhibitors) 
 Mutation Profiles (Protease and RT mutations) 
 Detailed Treatment Queries (Protease, RT, and integrase inhibitors) 
 Detailed Mutation Queries (Protease, RT, and integrase mutations) 
 Mutation Prevalence According to Subtype and Treatment 
Genotype-Phenotype Correlations 
The main page of the Genotype-Phenotype Correlations section links to four interactive query pages: three dynamically updated data summaries and one regularly updated downloadable dataset. 
 Drug Resistance Positions  Query for levels of resistance associated with known drug resistance mutations 
 Detailed Phenotype Queries  Queries for levels of resistance associated with individual mutations or mutation combinations at all positions of protease, RT, and integrase 
 Patterns of Drug Resistance Mutations 
 Downloadable Reference Dataset 
Genotype-Clinical Correlations 
This part of the database has two main sections: 
 Clinical Trials Datasets 
 Summaries of Clinical Studies 
References 
This part of the database has two main sections: one with summaries of the data from each of the references in HIVDB and one in which every primate immunodeficiency virus sequence in GenBank is annotated according to its presence or absence in HIVDB. 
 Studies in HIVDB 
 GenBank <=> HIVDB 
New Submissions 
Approximately every three months, the New Submissions section lists the studies that have been entered into HIVDB. The study title links to the introductory page of the study in the References section. 
Database Statistics (http://hivdb.stanford.edu/pages/HIVdbStatistics.html) 
2. INTERACTIVE PROGRAMS 
HIVDB has seven main interactive programs. 
1. HIVdb Program 
 Mutation List Analysis 
 Sequence Analysis 
 HIVdb Output 
 Sierra Web Service 
 Release Notes 
 Algorithm Specification Interface (ASI) 
2. HIValg Program 
3. HIVseq Program 
4. Calibrated Population Resistance (CPR) tool 
5. Mutation ARV Evidence Listing (MARVEL) 
6. ART-AiDE 
7. Rega HIV-1 Subtyping tool 
Three programs in the HIV Drug Resistance Database share a common code base: HIVseq, HIVdb, and HIValg. HIVseq accepts user-submitted protease, RT, and integrase sequences, compares them to the consensus subtype B reference sequence, and uses the differences as query parameters for interrogating the HIV Drug Resistance database (Shafer, D Jung, & B Betts, Nat Med 2000; Rhee SY et al. AIDS 2006). The query result provides users with the prevalence of protease, RT and integrase mutations according to subtype and PI, nucleoside RT inhibitor (NRTI), non-nucleoside RT inhibitor (NNRTI), and integrase inhibitor (INI) exposure. This allows users to detect unusual sequence results immediately so that the person doing the sequencing can check the primary sequence output while it is still on the desktop. In addition, unexpected associations between sequences or isolates can be discovered by immediately retrieving data on isolates sharing one or more mutations with the sequence. 
There are three ways in which the HIVdb program can be used: (i) entering a list of protease and RT mutations, (ii) entering a complete sequence containing protease, RT, and/or integrase, and (iii) using a Web Service. 
HIVdb is an expert system that accepts user-submitted HIV-1 pol sequences and returns inferred levels of resistance to 20 FDA-approved ARV drugs including 8 PIs, 7 NRTIs, 4 NNRTIs, and - with this update - one INI. In the HIVdb system, each HIV-1 drug resistance mutation is assigned a drug penalty score and a comment; the total score for a drug is derived by adding the scores of each mutation associated with resistance to that drug. Using the total drug score, the program reports one of the following levels of inferred drug resistance: susceptible, potential low-level resistance, low-level resistance, intermediate resistance, and high-level resistance. 
HIValg is designed for users interested in comparing the results of different algorithms or who are interested in comparing and evaluating existing and newly developed algorithms. The ability to develop new algorithms that can be run on the HIV Drug Resistance Database depends on the Algorithm Specific Interface (ASI) compiler (Shafer & Betts JCM 2003). 
Submission of Sequences and Mutations 
For each of the three programs, sequences can be entered using either the Sequence Analysis Form or the Mutation List form. 
3. EDUCATIONAL RESOURCES 
HIVDB contains several regularly updated sections summarizing data linking RT, protease, and integrase mutations and antiretroviral drugs (ARVs). These sections include (i) tabular summaries of the major mutations associated with each ARV class, (ii) detailed summaries of the major, minor, and accessory mutations associated with each ARV, (iii) the comments used by the HIVdb program, (iv) the scores used by the HIVdb program, (v) clinical studies in which baseline drug resistance mutations have been correlated with the virological response (clinical outcome) to a specific ARV, (vi) mutations that can be used for drug resistance surveillance, and (vii) a two-page PDF handout. 
1. Drug Resistance Summaries 
 Tabular Drug Resistance Summaries by ARV Class 
 Detailed Drug Resistance Summaries by ARV 
 Drug Resistance Mutation Comments Used by the HIVdb Program 
 Drug Resistance Mutation Scores Used by the HIVdb Program 
 Genotype-Clinical Outcome Correlation Studies 
2. Surveillance Drug-Resistance Mutation List Section 
3. PDF Handout 
Grant Support 
1. National Institute for Allergy and Infectious Diseases (NIAID, NIH): Online HIV Drug Resistance Database (PI: Robert W. Shafer, MD, 1R01AI68581-01A1), 04/01/06 - 3/31/11 
2. National Institute for Allergy and Infectious Diseases (NIAID, NIH) supplement to the grant Identification of Multidrug-Resistant HIV-1 Isolates (PI: Robert W. Shafer, MD, AI46148-01): Supplement provided 1999-2005. 
3. NIH/NIGMS Program Project on AIDS Structural Biology Program Project: Targeting Ensembles of Drug Resistant Protease Variants (PI: Celia Schiffer, PhD, University of Massachusetts): 2002-2007 
4. University-wide AIDS Research Program (CR03-ST-524). Community collaborative award: Optimizing Clinical HIV Genotypic Resistance Interpretation: Principal Investigators: Robert W. Shafer, MD and W. Jeffrey Fessel MD (Kaiser Permanente Medical Care Program): 2004-2005 
5. Stanford University Bio-X Interdisciplinary Initiative: HIV Gene Sequence Analysis for Drug Resistance Studies: A Pharmacogenetic Challenge Principal Investigators: Robert W. Shafer, MD and Daphne Koller, Ph.D. (Computer Science): 2000-2002"
;;Input Resistance;http://neurolex.org/wiki/Category-3AInput_Resistance;Input resistance at steady-state (steady-state of voltage response to current injection)
;;Resource:HIV Resistance Mutation Database;http://neurolex.org/wiki/Category-3AResource-3AHIV_Resistance_Mutation_Database;" 
The HIV Resistance Mutation Database is a resource that allows users to download HIV sequences and information on HIV drug resistance and mutations. Users must download the data from either of two files available on the site, as the online portion of the database is no longer available. The system requires Mac OS9 to work. 
The DATABASES folder contains the current versions of 2 databases copied from resdb: BestDefined, and resistrelated. The BestDefined database is a list of the Brander epitopes. The resistrelated database is a compilation of HIV drug resistance mutations. The Bib and biblio files are the associated references for these databases. 
The RESIST_HTML folder contains the html files used by the resistance database web site."
;;Resource:Corn Fungal Resistance Associated Sequences Database;http://neurolex.org/wiki/Nlx_65361;The Corn Fungal Resistance Associated Sequences Database (CFRAS-DB) is a relational database with dynamic querying and data integration that can be used by researchers to identify genetic sequences with a high probability of being associated with aflatoxin accumulation resistance, according to multiple lines of evidence. CFRAS-DB integrates genomic, proteomic, and genetic data from multiple studies in maize dealing with aflatoxin accumulation or Aspergillus flavus resistance.
;;Resource:HIV Resistance Mutation Database;http://neurolex.org/wiki/Nif-2D0000-2D02963;" 
The HIV Resistance Mutation Database is a resource that allows users to download HIV sequences and information on HIV drug resistance and mutations. Users must download the data from either of two files available on the site, as the online portion of the database is no longer available. The system requires Mac OS9 to work. 
The DATABASES folder contains the current versions of 2 databases copied from resdb: BestDefined, and resistrelated. The BestDefined database is a list of the Brander epitopes. The resistrelated database is a compilation of HIV drug resistance mutations. The Bib and biblio files are the associated references for these databases. 
The RESIST_HTML folder contains the html files used by the resistance database web site."
;;Resistance to;http://neurolex.org/wiki/Category-3AResistance_to;A quality inhering in a bearer by virtue of its ability or inability to resist a stimulus.
;;Resource:Antibiotic Resistance Genes Database;http://neurolex.org/wiki/Category-3AResource-3AAntibiotic_Resistance_Genes_Database;" 
The goals of Antibiotic Resistance Genes Database (ARGB) are to provide a centralized compendium of information on antibiotic resistance, to facilitate the consistent annotation of resistance information in newly sequenced organisms, and also to facilitate the identification and characterization of new genes. 
ARGB contains six types of database groups: 
- Resistance Type: This database contains information, such as resistance profile, mechanism, requirement, epidemiology for each type. 
- Resistance Gene: This database contains information, such as resistance profile, resistance type, requirement, protein and DNA sequence for each gene.This database only includes NON-REDUNDANT, NON-VECTOR, COMPLETE genes. 
- Antibiotic: This database contains information, such as producer, action mechanism, resistance type, for each gene. 
- Resistance Gene(NonRD): This database contains the same information as Resistance Gene. It does NOT include NON-REDUNDANT, NON-VECTOR genes, but includes INCOMPLETE genes. 
- Resistance Gene(ALL): This database contains the same information as Resistance Gene. It includes all REDUNDANT, VECTOR AND INCOMPLETE genes. 
- Resistance Species: This database contains resistance profile and corresponding resistance genes for each species. 
Furthermore, ARDB also contians three types BLAST database: 
- Resistance Genes Complete: Contains only NON-REDUNDANT, NON-VECTOR, COMPLETE genes sequences. 
- Resistance Genes Non-redundant: Contains NON-REDUNDANT, NON-VECTOR, COMPLETE, INCOMPLETE genes sequences. 
- Resistance Genes All: Contains all REDUNDANT, VECTOR, COMPLETE, INCOMPLETE genes sequences. 
Lastly, ARDB provides four types of Analytical tools: 
- Normal BLAST: This function allows an user to input a DNA or protein sequence, and find similar DNA (Nucleotide BLAST) or protein (Protein BLAST) sequences using blastn, blastp, blastx, tblastn, tblastx 
- RPS BLAST: A web RPSBLAST (RPS BLAST) interface is provided to align a query sequence against the Position Specific Scoring Matrix (PSSM) for each type. Normally, this will give the same annotation information as using regular BLAST mentioned above. 
- Multiple Sequences BLAST (Genome Annotation): This function allows an user to annotate multiple (less than 5000) query sequences in FASTA format. 
- Mutation Resistance Identification: This function allows an user to identify mutations that will cause potential antibiotic resistance, for 12 genes (16S rRNA, 23S rRNA, gyrA, gyrB, parC, parE, rpoB, katG, pncA, embB, folP, dfr). &#65533; 
:Sponsors: ARDB is funded by Uniformed Services University of the Health Sciences, administered by the Henry Jackson Foundation. 
:"
;;Resource:Stanford University HIV Drug Resistance Database;http://neurolex.org/wiki/Category-3AResource-3AStanford_University_HIV_Drug_Resistance_Database;"The Stanford University HIV Drug Resistance Database is a curated public database designed to represent, store, and analyze the different forms of data underlying HIVs drug resistance. HIVDB 
has three main types of content: (1) Database queries and references, (2) Interactive programs, and (3) Educational resources. 
Database queries are designed primarily for researchers studying HIV drug resistance. The interactive programs and educational resources are designed for both researchers and those wishing to learn more about HIV drug resistance. 
1.DATABASE QUERY AND REFERENCE PAGES 
Genotype-Treatment Correlations 
This Genotype-Treatment section of the database links to 15 interactive query pages that explore the relationship between treatment with HIV-1 antiretroviral drugs (ARVs) and mutations in HIV reverse transcriptase (RT), protease, and integrase. There are five types of interactive query pages: 
 Treatment Profiles (Protease and RT inhibitors) 
 Mutation Profiles (Protease and RT mutations) 
 Detailed Treatment Queries (Protease, RT, and integrase inhibitors) 
 Detailed Mutation Queries (Protease, RT, and integrase mutations) 
 Mutation Prevalence According to Subtype and Treatment 
Genotype-Phenotype Correlations 
The main page of the Genotype-Phenotype Correlations section links to four interactive query pages: three dynamically updated data summaries and one regularly updated downloadable dataset. 
 Drug Resistance Positions  Query for levels of resistance associated with known drug resistance mutations 
 Detailed Phenotype Queries  Queries for levels of resistance associated with individual mutations or mutation combinations at all positions of protease, RT, and integrase 
 Patterns of Drug Resistance Mutations 
 Downloadable Reference Dataset 
Genotype-Clinical Correlations 
This part of the database has two main sections: 
 Clinical Trials Datasets 
 Summaries of Clinical Studies 
References 
This part of the database has two main sections: one with summaries of the data from each of the references in HIVDB and one in which every primate immunodeficiency virus sequence in GenBank is annotated according to its presence or absence in HIVDB. 
 Studies in HIVDB 
 GenBank <=> HIVDB 
New Submissions 
Approximately every three months, the New Submissions section lists the studies that have been entered into HIVDB. The study title links to the introductory page of the study in the References section. 
Database Statistics (http://hivdb.stanford.edu/pages/HIVdbStatistics.html) 
2. INTERACTIVE PROGRAMS 
HIVDB has seven main interactive programs. 
1. HIVdb Program 
 Mutation List Analysis 
 Sequence Analysis 
 HIVdb Output 
 Sierra Web Service 
 Release Notes 
 Algorithm Specification Interface (ASI) 
2. HIValg Program 
3. HIVseq Program 
4. Calibrated Population Resistance (CPR) tool 
5. Mutation ARV Evidence Listing (MARVEL) 
6. ART-AiDE 
7. Rega HIV-1 Subtyping tool 
Three programs in the HIV Drug Resistance Database share a common code base: HIVseq, HIVdb, and HIValg. HIVseq accepts user-submitted protease, RT, and integrase sequences, compares them to the consensus subtype B reference sequence, and uses the differences as query parameters for interrogating the HIV Drug Resistance database (Shafer, D Jung, & B Betts, Nat Med 2000; Rhee SY et al. AIDS 2006). The query result provides users with the prevalence of protease, RT and integrase mutations according to subtype and PI, nucleoside RT inhibitor (NRTI), non-nucleoside RT inhibitor (NNRTI), and integrase inhibitor (INI) exposure. This allows users to detect unusual sequence results immediately so that the person doing the sequencing can check the primary sequence output while it is still on the desktop. In addition, unexpected associations between sequences or isolates can be discovered by immediately retrieving data on isolates sharing one or more mutations with the sequence. 
There are three ways in which the HIVdb program can be used: (i) entering a list of protease and RT mutations, (ii) entering a complete sequence containing protease, RT, and/or integrase, and (iii) using a Web Service. 
HIVdb is an expert system that accepts user-submitted HIV-1 pol sequences and returns inferred levels of resistance to 20 FDA-approved ARV drugs including 8 PIs, 7 NRTIs, 4 NNRTIs, and - with this update - one INI. In the HIVdb system, each HIV-1 drug resistance mutation is assigned a drug penalty score and a comment; the total score for a drug is derived by adding the scores of each mutation associated with resistance to that drug. Using the total drug score, the program reports one of the following levels of inferred drug resistance: susceptible, potential low-level resistance, low-level resistance, intermediate resistance, and high-level resistance. 
HIValg is designed for users interested in comparing the results of different algorithms or who are interested in comparing and evaluating existing and newly developed algorithms. The ability to develop new algorithms that can be run on the HIV Drug Resistance Database depends on the Algorithm Specific Interface (ASI) compiler (Shafer & Betts JCM 2003). 
Submission of Sequences and Mutations 
For each of the three programs, sequences can be entered using either the Sequence Analysis Form or the Mutation List form. 
3. EDUCATIONAL RESOURCES 
HIVDB contains several regularly updated sections summarizing data linking RT, protease, and integrase mutations and antiretroviral drugs (ARVs). These sections include (i) tabular summaries of the major mutations associated with each ARV class, (ii) detailed summaries of the major, minor, and accessory mutations associated with each ARV, (iii) the comments used by the HIVdb program, (iv) the scores used by the HIVdb program, (v) clinical studies in which baseline drug resistance mutations have been correlated with the virological response (clinical outcome) to a specific ARV, (vi) mutations that can be used for drug resistance surveillance, and (vii) a two-page PDF handout. 
1. Drug Resistance Summaries 
 Tabular Drug Resistance Summaries by ARV Class 
 Detailed Drug Resistance Summaries by ARV 
 Drug Resistance Mutation Comments Used by the HIVdb Program 
 Drug Resistance Mutation Scores Used by the HIVdb Program 
 Genotype-Clinical Outcome Correlation Studies 
2. Surveillance Drug-Resistance Mutation List Section 
3. PDF Handout 
Grant Support 
1. National Institute for Allergy and Infectious Diseases (NIAID, NIH): Online HIV Drug Resistance Database (PI: Robert W. Shafer, MD, 1R01AI68581-01A1), 04/01/06 - 3/31/11 
2. National Institute for Allergy and Infectious Diseases (NIAID, NIH) supplement to the grant Identification of Multidrug-Resistant HIV-1 Isolates (PI: Robert W. Shafer, MD, AI46148-01): Supplement provided 1999-2005. 
3. NIH/NIGMS Program Project on AIDS Structural Biology Program Project: Targeting Ensembles of Drug Resistant Protease Variants (PI: Celia Schiffer, PhD, University of Massachusetts): 2002-2007 
4. University-wide AIDS Research Program (CR03-ST-524). Community collaborative award: Optimizing Clinical HIV Genotypic Resistance Interpretation: Principal Investigators: Robert W. Shafer, MD and W. Jeffrey Fessel MD (Kaiser Permanente Medical Care Program): 2004-2005 
5. Stanford University Bio-X Interdisciplinary Initiative: HIV Gene Sequence Analysis for Drug Resistance Studies: A Pharmacogenetic Challenge Principal Investigators: Robert W. Shafer, MD and Daphne Koller, Ph.D. (Computer Science): 2000-2002"
;;Resistance to;http://neurolex.org/wiki/PATO_0001046;A quality inhering in a bearer by virtue of its ability or inability to resist a stimulus.
;;Resource:Antibiotic Resistance Genes Database;http://neurolex.org/wiki/Nif-2D0000-2D02565;" 
The goals of Antibiotic Resistance Genes Database (ARGB) are to provide a centralized compendium of information on antibiotic resistance, to facilitate the consistent annotation of resistance information in newly sequenced organisms, and also to facilitate the identification and characterization of new genes. 
ARGB contains six types of database groups: 
- Resistance Type: This database contains information, such as resistance profile, mechanism, requirement, epidemiology for each type. 
- Resistance Gene: This database contains information, such as resistance profile, resistance type, requirement, protein and DNA sequence for each gene.This database only includes NON-REDUNDANT, NON-VECTOR, COMPLETE genes. 
- Antibiotic: This database contains information, such as producer, action mechanism, resistance type, for each gene. 
- Resistance Gene(NonRD): This database contains the same information as Resistance Gene. It does NOT include NON-REDUNDANT, NON-VECTOR genes, but includes INCOMPLETE genes. 
- Resistance Gene(ALL): This database contains the same information as Resistance Gene. It includes all REDUNDANT, VECTOR AND INCOMPLETE genes. 
- Resistance Species: This database contains resistance profile and corresponding resistance genes for each species. 
Furthermore, ARDB also contians three types BLAST database: 
- Resistance Genes Complete: Contains only NON-REDUNDANT, NON-VECTOR, COMPLETE genes sequences. 
- Resistance Genes Non-redundant: Contains NON-REDUNDANT, NON-VECTOR, COMPLETE, INCOMPLETE genes sequences. 
- Resistance Genes All: Contains all REDUNDANT, VECTOR, COMPLETE, INCOMPLETE genes sequences. 
Lastly, ARDB provides four types of Analytical tools: 
- Normal BLAST: This function allows an user to input a DNA or protein sequence, and find similar DNA (Nucleotide BLAST) or protein (Protein BLAST) sequences using blastn, blastp, blastx, tblastn, tblastx 
- RPS BLAST: A web RPSBLAST (RPS BLAST) interface is provided to align a query sequence against the Position Specific Scoring Matrix (PSSM) for each type. Normally, this will give the same annotation information as using regular BLAST mentioned above. 
- Multiple Sequences BLAST (Genome Annotation): This function allows an user to annotate multiple (less than 5000) query sequences in FASTA format. 
- Mutation Resistance Identification: This function allows an user to identify mutations that will cause potential antibiotic resistance, for 12 genes (16S rRNA, 23S rRNA, gyrA, gyrB, parC, parE, rpoB, katG, pncA, embB, folP, dfr). &#65533; 
:Sponsors: ARDB is funded by Uniformed Services University of the Health Sciences, administered by the Henry Jackson Foundation. 
:"
;OBI_related;Insulin resistance;http://purl.obolibrary.org/obo/HP_0000855;`Increased resistance` (PATO:0001650) towards `insulin` (PRO:000009054), that is, diminished effectiveness of insulin in reducing blood glucose levels.
;ERO_related;four-terminal resistance sensor;http://purl.obolibrary.org/obo/ERO_0001577;An electrical impedance measuring instrument that uses separate pairs of current-carrying and voltage-sensing electrodes to make accurate measurements that can be used to compute a material's electrical resistance.
;provenance;is split of: input resistance;;
solution;NEMO_related;analog_to_digital_converter_resolution;http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_4981000;... [incomplete]
;neurolex_related;Resource:Precision Allograft Solutions;http://neurolex.org/wiki/Category-3AResource-3APrecision_Allograft_Solutions;Not yet vetted by NIF curator
;;Resource:Tissue Solutions;http://neurolex.org/wiki/Category-3AResource-3ATissue_Solutions;"Tissue Solutions offers you a single point to access the entire range of human biological materials for all your research and development needs. This includes diseased and normal tissues in fresh, frozen and FFPE formats. Using our large network of ethical sources we find the tissues you require, to your specifications and will deliver them to your door.

Our goal is to provide high quality and well characterized samples to biotech companies, the pharmaceutical community and contract research organizations worldwide. We also organize customized and prospective tissue acquisition projects and give specialized advice relating to all aspects of the acquisition process, including intellectual input on project design.

We appreciate that you would rather spend your time finding new biomarkers and developing, testing and validating novel drugs to cure human disease than spend your time sourcing material to help you do your work, so let our dedicated Tissue Acquisitionists lessen your workload and become a virtual part of your team."
